ID 3,Name,semi major axis (AU),eccentricity of the orbit,inclination of the orbit wrt J2000 ecliptic plane,longitude of the ascending node,argument of the perihelion (J2000 ecliptic),perihelion distance (comets only),aphelion distance (AU),period (years),data-arc span,codition code,# observations used (total),# of delay radar observations,# of Doppler radar observations used in fit,absolute magnitude,diameter (from equivalent sphere),object bi/tri axial ellipsoid dimensions,geometric albedo,rotation period,mass expressed as product of mass and gravity,color index BV,color index UB,color index IR,spectral taxonomic type (SMASSII),spectral taxonomic type (Tholen)
id,full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T
a0000001,1 Ceres,2.767025705,0.075797798,10.59387843,80.32831021,72.39491612,2.557291248,2.976760161,4.602862406,77150,0,6652,,,3.34,952.4,974.6 x 909.4,0.09,9.07417,63.2,0.713,0.426,,C,G
a0000002,2 Pallas,2.771722876,0.231368063,34.84103375,173.0969085,309.9258688,2.130434722,3.41301103,4.614587779,68635,0,7829,,,4.13,545,582x556x500,0.1587,7.8132,14.3,0.635,0.284,,B,B
a0000003,3 Juno,2.669858508,0.255221012,12.98137744,169.8776356,248.3798175,1.988454519,3.351262498,4.362551547,69075,0,6611,,,5.33,233.92,,0.2383,7.21,,0.824,0.433,,Sk,S
a0000004,4 Vesta,2.361460086,0.088612192,7.140494102,103.8512889,151.2172211,2.152205932,2.570714241,3.628934391,67680,0,7107,,,3.2,530,,0.4228,5.342,17.8,0.782,0.492,,V,V
a0000005,5 Astraea,2.574226897,0.191019081,5.368305544,141.5937864,358.8902033,2.08250044,3.065953354,4.130269953,61238,0,2068,,,6.85,119.07,,0.2268,16.8,,0.826,0.411,,S,S
a0000006,6 Hebe,2.425623582,0.201544277,14.74802737,138.7033386,239.3939093,1.93675303,2.914494134,3.777837832,60166,0,5455,,,5.71,185.18,,0.2679,7.2745,,0.822,0.399,,S,S
a0000007,7 Iris,2.385988715,0.230464931,5.524376909,259.6357275,145.4366658,1.836101991,2.935875438,3.685621902,60168,0,4780,2,0,5.51,199.83,,0.2766,7.139,,0.855,0.484,,S,S
a0000008,8 Flora,2.201255243,0.156095264,5.888090224,110.9221417,285.4005339,1.857649725,2.544860761,3.265982154,60622,0,2191,,,6.49,135.89,,0.2426,12.865,,0.885,0.489,,,S
a0000009,9 Metis,2.38614384,0.12242877,5.574912352,68.94557096,5.849920188,2.094011184,2.678276496,3.68598134,70117,0,2313,,,6.28,190,,0.118,5.079,,0.858,0.496,,,S
